NoBuktiTgl         Customer          Penjualan               COGS
FA-075406/29/2000  PT BBB              7006427            6937056
FA-075506/30/2000  PT BBB             10211278            9818536
FA-075607/02/2000  PT BBB             11940626           11372024
FA-075707/02/2000  PT AAA             35746643           34371772
FA-075807/04/2000  PT BBB             11706021           11365068
FA-075907/06/2000  PT ZZZ             11135961           10707654
FA-076007/07/2000  PT XYZ             30458778           29571629
FA-076107/08/2000  PT DEF             28158548           26817664
FA-076207/08/2000  PT ABC              8118770            7380700
FA-076307/10/2000  PT ABC             34515215           34173480
FA-076407/11/2000  PT BBB              2728770            2649291
FA-076507/13/2000  PT AAA             48844150           47421504
FA-076607/13/2000  PT BBB              9042806            8865496
FA-076707/15/2000  PT ABC             12276223           11804060
FA-076807/15/2000  PT ZZZ              1521371            1491540
FA-076907/15/2000  PT AAA             17168279           16507960
FA-077007/16/2000  PT BBB             11940927           11481660
FA-077107/18/2000  PT ZZZ               752011             737265
FA-077207/19/2000  PT BBB             17042688           16873948
FA-077307/21/2000  PT XYZ              7119316            6845496
FA-077407/23/2000  PT ZZZ             10281417           10079820
FA-077507/24/2000  PT BBB              8459160            7420315
FA-077607/24/2000  PT BBB               374461             325618
FA-077707/25/2000  PT BBB              1363529            1217436
FA-077807/26/2000  PT BBB             44252283           38817792
FA-077907/28/2000  PT ABC              8231732            7349760
FA-078007/30/2000  PT ZZZ               847376             736848
FA-078107/30/2000  PT DEF             28618384           25552128
FA-078208/01/2000  PT ZZZ              4607417            4077360
FA-078308/01/2000  PT BBB             20146818           18150286
FA-078408/02/2000  PT BBB             42960698           38018316
FA-078508/04/2000  PT BBB              8000619            6957060
FA-078608/06/2000  PT XYZ             20858144           18791120
FA-078708/08/2000  PT ZZZ              5843652            5081436
FA-078808/09/2000  PT ABC             19443304           17360092
FA-078908/10/2000  PT BBB             45284063           39722862
FA-079008/11/2000  PT AAA             45231414           40749021
FA-079108/12/2000  PT ZZZ              9329176            8183487
FA-079208/13/2000  PT ZZZ             21792234           18949768
FA-079308/14/2000  PT XYZ               813906             707744
FA-079408/14/2000  PT ABC             55616861           49657911
FA-079508/15/2000  PT XYZ             13900824           12523264
FA-079608/17/2000  PT ABC             20008958           17865141
FA-079708/17/2000  PT XYZ              9992613            9002354
FA-079808/18/2000  PT DEF             11314247           10193015
FA-079908/19/2000  PT BBB             30702815           26932293
FA-080008/21/2000  PT BBB             10528326            9317102
FA-080108/22/2000  PT DEF              3584819            3144578
FA-080208/22/2000  PT ZZZ             57444025           49951326
FA-080308/24/2000  PT ABC              8741909            7601660
FA-080408/25/2000  PT ABC             15521992           13497384
FA-080508/26/2000  PT XYZ             11770363           10509252
FA-080608/26/2000  PT XYZ               987722             858888
FA-080708/26/2000  PT BBB               606573             532081
FA-080808/26/2000  PT ABC             43423889           39120620
FA-080908/26/2000  PT ZZZ             18329823           16513354
FA-081008/28/2000  PT ABC              3688744            3235740
FA-081108/28/2000  PT XYZ             11021895            9753889
FA-081208/30/2000  PT XYZ              5673908            5065989
FA-081309/01/2000  PT BBB             20759442           18535216
FA-081409/03/2000  PT BBB             10361829            9169760
FA-081509/05/2000  PT ABC              2452482            2151300
FA-081609/05/2000  PT AAA             15120259           13380760
FA-081709/05/2000  PT BBB             23836515           20909223
FA-081809/05/2000  PT XYZ             21185829           18915918
FA-081909/06/2000  PT DEF              9471699            8456874
FA-082009/06/2000  PT XYZ             13971082           12586560
FA-082109/08/2000  PT BBB              1208660            1051008
FA-082209/10/2000  PT XYZ             29111848           25536708
FA-082309/11/2000  PT BBB             49685637           43969590
FA-082409/13/2000  PT XYZ             26888731           23586606
FA-082509/14/2000  PT DEF             26618996           23766960
FA-082609/14/2000  PT ZZZ              8019329            7034499
FA-082709/15/2000  PT ABC               129378             116556
FA-082809/16/2000  PT BBB             12852077           11475068
FA-082909/18/2000  PT BBB             10054103            8976877
FA-083009/18/2000  PT ZZZ              5286416            4637207
FA-083109/20/2000  PT ZZZ             24231756           21255926
FA-083209/20/2000  PT AAA             51210903           45724020
FA-083309/20/2000  PT BBB             13884392           12073384
FA-083409/21/2000  PT ABC              9924802            8783010
FA-083509/23/2000  PT BBB             10464630            9179500
FA-083609/25/2000  PT DEF               431006             374787
FA-083709/26/2000  PT AAA              1113916             968622
FA-083809/28/2000  PT XYZ             12162354           10763145
FA-083909/30/2000  PT XYZ              5482217            4851519
FA-084009/30/2000  PT XYZ             13758065           12283986
FA-084110/01/2000  PT AAA             42252519           38065332
FA-084210/02/2000  PT ABC              5785710            5212351
FA-084310/03/2000  PT ABC             13231943           11709684
FA-084410/04/2000  PT BBB              3775692            3312010
FA-084510/05/2000  PT XYZ             13297465           11979698
FA-084610/06/2000  PT BBB             26665756           23391014
FA-084710/07/2000  PT DEF             18187809           16385413
FA-084810/07/2000  PT BBB             10001203            9010092
FA-084910/07/2000  PT BBB             13635216           12174300
FA-085010/09/2000  PT ZZZ             49073300           43046754
FA-085110/09/2000  PT ZZZ              6199414            5438082
FA-085210/10/2000  PT ZZZ               158303             140091
FA-085310/12/2000  PT XYZ             29571310           26402955
FA-085410/14/2000  PT BBB             13610930           11939412
FA-085510/16/2000  PT ABC             11760413           10316151
FA-085610/16/2000  PT AAA             38649120           34508142
FA-085710/18/2000  PT ZZZ             47781796           42284775
FA-085810/20/2000  PT BBB             27654312           24258168
FA-085910/21/2000  PT ZZZ             22779729           19808460
FA-086010/23/2000  PT XYZ             13208365           11688818
FA-086110/25/2000  PT ZZZ             34841865           31108808
FA-086210/27/2000  PT XYZ              1296793            1127646
FA-086310/28/2000  PT DEF              6929933            6187440
FA-086410/30/2000  PT BBB             15783468           13967670
FA-086510/30/2000  PT BBB             25432119           22506300
FA-086610/31/2000  PT ABC              2449262            2129793
FA-086711/02/2000  PT XYZ             10340450            9150840
FA-086811/02/2000  PT DEF              3203863            2810406
FA-086911/04/2000  PT BBB             31988115           28308066
FA-087011/04/2000  PT BBB              9041673            8072922
FA-087111/04/2000  PT XYZ              3018584            2695164
FA-087211/04/2000  PT BBB             41222396           36479996
FA-087311/04/2000  PT ZZZ              4017213            3619110
FA-087411/04/2000  PT ZZZ              5322692            4669028
FA-087511/06/2000  PT AAA              7601313            6726825
FA-087611/06/2000  PT ABC             48283311           42353781
FA-087711/07/2000  PT AAA              8737979            7872053
FA-087811/07/2000  PT BBB              5798104            5086056
FA-087911/09/2000  PT BBB             13939485           12227618
FA-088011/10/2000  PT ABC             51773655           45020569
FA-088111/11/2000  PT BBB              4697341            4516674
FA-088211/12/2000  PT BBB             22753563           21670060
FA-088311/14/2000  PT DEF             11435687           11322462
FA-088411/15/2000  PT AAA             26438239           25179275
FA-088511/16/2000  PT BBB              5773748            5551680
FA-088611/18/2000  PT BBB             21236262           21669655
FA-088711/18/2000  PT DEF             51850205           52908372
FA-088811/20/2000  PT DEF             26160785           24915033
FA-088911/22/2000  PT ABC                    0                  0
FA-089011/22/2000  PT BBB             15215207           15685780
FA-089111/23/2000  PT ABC               707174             679975
FA-089211/23/2000  PT BBB                    0                  0
FA-089311/24/2000  PT ZZZ               276243             263088
FA-089411/26/2000  PT BBB              6573866            6708026
FA-089511/26/2000  PT XYZ             18968973           18065688
FA-089611/26/2000  PT DEF             15774759           15465450
FA-089711/28/2000  PT DEF             14985004           14691180
FA-089811/28/2000  PT DEF             13030340           13433340
FA-089911/29/2000  PT ABC             11533268           11089680
FA-090011/30/2000  PT BBB             18865245           19250250
FA-090111/30/2000  PT XYZ                    0                  0
FA-090212/01/2000  PT ABC              6635763            6985013
FA-090312/03/2000  PT DEF             49249125           51841184
FA-090412/04/2000  PT ABC             45139952           43403800
FA-090512/06/2000  PT BBB             10932642           11388168
FA-090612/08/2000  PT BBB             44250538           42548594
FA-090712/08/2000  PT ZZZ                    0                  0
FA-090812/10/2000  PT BBB              4509710            4601744
FA-090912/11/2000  PT ZZZ             16478692           17345991
FA-091012/12/2000  PT ZZZ             34524137           35962642
FA-091112/13/2000  PT DEF             17241609           17070900
FA-091212/15/2000  PT AAA             15566485           15723722
FA-091312/17/2000  PT ABC              4253668            4430904
FA-091412/18/2000  PT ABC             24281622           24526890
FA-091512/18/2000  PT DEF             15333288           15972174
FA-091612/20/2000  PT BBB              4913328            5065286
FA-091712/20/2000  PT BBB             16297458           15822774
FA-091812/21/2000  PT XYZ              8660186            8247796
FA-091912/23/2000  PT DEF              7643195            7961661
FA-092012/23/2000  PT DEF             18587927           18967272
FA-092112/24/2000  PT BBB              7009294            7226076
FA-092212/24/2000  PT ZZZ             22218874           21571722
FA-092312/26/2000  PT BBB             13985376           13447476
FA-092412/28/2000  PT BBB             20041283           19270464
FA-092512/28/2000  PT AAA             16554392           17244158
FA-092612/30/2000  PT XYZ              7381269            7609555
FA-092712/30/2000  PT DEF             29922209           30532866
FA-092812/31/2000  PT ZZZ              7816320            8142000
FA-092901/02/2001  PT XYZ                    0                  0
FA-093001/04/2001  PT XYZ             18097944           17570819
FA-093101/04/2001  PT BBB              7718687            7016988
FA-093201/05/2001  PT XYZ               653327             588582
FA-093301/05/2001  PT XYZ             10125782            8805027
FA-093401/06/2001  PT AAA             12671061           11213328
FA-093501/06/2001  PT XYZ             29032841           25245948
FA-093601/07/2001  PT ZZZ             28981290           26109270
FA-093701/08/2001  PT DEF              3654075            3177456
FA-093801/08/2001  PT XYZ             19532645           18085782
FA-093901/10/2001  PT XYZ             17636504           15336090
FA-094001/12/2001  PT DEF              3597949            3300870
FA-094101/14/2001  PT DEF             25052976           23197200
FA-094201/16/2001  PT DEF             16919319           14972848
FA-094301/17/2001  PT ABC              4788240            4200210
FA-094401/19/2001  PT ABC             15652210           13851513
FA-094501/20/2001  PT BBB             13092333           11586135
FA-094601/21/2001  PT BBB             32038000           29392660
FA-094701/21/2001  PT BBB             45452484           41320440
FA-094801/23/2001  PT ZZZ             12519837           11381670
FA-094901/23/2001  PT BBB             34914498           30626752
FA-095001/24/2001  PT DEF             24927549           21866271
FA-095101/25/2001  PT DEF              2165724            2005300
FA-095201/26/2001  PT ABC             32127487           28685256
FA-095301/28/2001  PT ABC             29916529           26711186
FA-095401/29/2001  PT ABC             11030881            9937730
FA-095501/30/2001  PT BBB             53246178           47541230
FA-095602/01/2001  PT ZZZ               516602             461251
FA-095702/03/2001  PT AAA             36845877           32320944
FA-095802/04/2001  PT XYZ             17864986           16240896
FA-095902/06/2001  PT XYZ               359265             315144
FA-096002/08/2001  PT BBB              4581416            3983840
FA-096102/08/2001  PT AAA              6481709            5636268
FA-096202/08/2001  PT BBB             17040776           15352050
FA-096302/08/2001  PT XYZ             39062537           34568616
FA-096402/09/2001  PT BBB             13499160           11738400
FA-096502/11/2001  PT ABC              6705109            6208434
FA-096602/13/2001  PT ABC             48981560           43733535
FA-096702/14/2001  PT XYZ             15421025           14019113
FA-096802/15/2001  PT XYZ             19409327           17025725
FA-096902/16/2001  PT BBB              6828629            5937938
FA-097002/16/2001  PT DEF             16441933           14422748
FA-097102/17/2001  PT ZZZ             35761760           31930142
FA-097202/17/2001  PT BBB             15499735           13963725
FA-097302/17/2001  PT BBB              2429324            2188580
FA-097402/19/2001  PT BBB              6240234            5621832
FA-097502/21/2001  PT ABC             10044096            8888580
FA-097602/22/2001  PT AAA              8677824            7679490
FA-097702/24/2001  PT XYZ              6697447            6088588
FA-097802/24/2001  PT AAA             11675487           10152597
FA-097902/24/2001  PT ABC             41566932           37788120
FA-098002/26/2001  PT ABC              7839020            6999125
FA-098102/28/2001  PT BBB             24825236           22775445
FA-098203/02/2001  PT ABC             39763162           35502823
FA-098303/02/2001  PT AAA              3304991            3060176
FA-098403/03/2001  PT ABC              3222869            2852096
FA-098503/04/2001  PT ABC              3382189            2993087
FA-098603/05/2001  PT DEF             31419943           29092539
FA-098703/06/2001  PT XYZ             15327091           13327905
FA-098803/06/2001  PT DEF              9749825            8628163
FA-098903/07/2001  PT ZZZ             13212569           11589972
FA-099003/07/2001  PT DEF             39442263           34297620
FA-099103/07/2001  PT BBB              7811218            6792363
FA-099203/09/2001  PT DEF              8927326            8266042
FA-099303/09/2001  PT BBB              6904532            6164760
FA-099403/11/2001  PT XYZ             32799350           30091146
FA-099503/13/2001  PT BBB             15075027           13958358
FA-099603/15/2001  PT BBB                26365              23752
FA-099703/15/2001  PT BBB             11332159           10209152
FA-099803/15/2001  PT DEF              9105106            8430653
FA-099903/17/2001  PT XYZ              5660407            5241117
FA-100003/19/2001  PT AAA             29541982           27102735
FA-100103/21/2001  PT XYZ              4020607            3722784
FA-100203/23/2001  PT ABC             39840104           34643568
FA-100303/25/2001  PT DEF             11431641           10298775
FA-100403/27/2001  PT BBB             30074549           27094188
FA-100503/27/2001  PT ZZZ             34499159           31943665
FA-100603/29/2001  PT AAA              3507899            3132052
FA-100703/31/2001  PT AAA              6365845            5840224
FA-100804/02/2001  PT BBB               615792             540168
FA-100904/02/2001  PT ABC             14050113           12324660
FA-101004/04/2001  PT DEF             17528318           16081025
FA-101104/05/2001  PT DEF             37761555           34643628
FA-101204/06/2001  PT BBB              2130693            1885569
FA-101304/08/2001  PT AAA             31711487           28828624
FA-101404/08/2001  PT AAA             21231681           19127640
FA-101504/08/2001  PT AAA                80115              73500
FA-101604/08/2001  PT BBB              2823383            2566711
FA-101704/08/2001  PT DEF              1134478             986502
FA-101804/10/2001  PT BBB              7994523            7334424
FA-101904/11/2001  PT AAA              1215108            1056615
FA-102004/13/2001  PT AAA             27418902           24051668
FA-102104/14/2001  PT BBB             49650392           45136720
FA-102204/14/2001  PT ABC             37739946           32817344
FA-102304/14/2001  PT AAA             50722883           46965632
FA-102404/15/2001  PT ABC             29668227           26024760
FA-102504/17/2001  PT ZZZ             12728299           11466936
FA-102604/18/2001  PT DEF              2964749            2670945
FA-102704/19/2001  PT AAA             12463719           10838016
FA-102804/20/2001  PT XYZ             32996208           30271750
FA-102904/21/2001  PT ZZZ             17793102           15607984
FA-103004/21/2001  PT AAA             35623712           31525408
FA-103104/21/2001  PT ZZZ              3446828            3133480
FA-103204/21/2001  PT BBB               542425             484308
FA-103304/23/2001  PT BBB              7493770            6751144
FA-103404/24/2001  PT ZZZ             29680227           26738943
FA-103504/24/2001  PT XYZ             16486512           15125240
FA-103604/24/2001  PT DEF              8997137            8105528
FA-103704/25/2001  PT ABC             28544220           25038789
FA-103804/26/2001  PT BBB              7443840            6646285
FA-103904/26/2001  PT BBB              1747940            1533280
FA-104004/26/2001  PT AAA              4286557            3827283
FA-104104/27/2001  PT BBB             15814304           13751568
FA-104204/29/2001  PT ABC              2487003            2240543
FA-104304/30/2001  PT BBB              4208925            3791824
FA-104404/30/2001  PT BBB             41018284           37289349
FA-104504/30/2001  PT DEF              5885146            5350132
FA-104605/01/2001  PT ABC              1070219             955552
FA-104705/01/2001  PT AAA             12592650           11046184
FA-104805/03/2001  PT ZZZ             16925358           15248070
FA-104905/05/2001  PT ZZZ             16444758           14682819
FA-105005/06/2001  PT XYZ             27268442           24789492
FA-105105/08/2001  PT BBB             13384251           11950224
FA-105205/08/2001  PT BBB             15524234           14242416
FA-105305/09/2001  PT ABC             12869989           11594584
FA-105405/09/2001  PT XYZ             16064515           14472536
FA-105505/09/2001  PT AAA             12936768           11978488
FA-105605/09/2001  PT DEF             13862152           12488425
FA-105705/10/2001  PT ABC             15334546           13940496
FA-105805/11/2001  PT BBB             21066799           18479648
FA-105905/12/2001  PT AAA             24291089           22082808
FA-106005/12/2001  PT BBB              7055418            6356232
FA-106105/13/2001  PT ABC              2322853            2019872
FA-106205/14/2001  PT BBB             32254044           28293021
FA-106305/16/2001  PT DEF              2209012            2026616
FA-106405/16/2001  PT ABC              7296047            6344388
FA-106505/18/2001  PT ZZZ             19966318           17362015
FA-106605/18/2001  PT DEF              5569795            5063450
FA-106705/18/2001  PT DEF             14235177           12597501
FA-106805/20/2001  PT BBB             37791551           32862218
FA-106905/22/2001  PT BBB              9820711            8927919
FA-107005/24/2001  PT XYZ             21020758           19463664
FA-107105/25/2001  PT XYZ             15962688           14252400
FA-107205/26/2001  PT ZZZ             35477027           30849588
FA-107305/27/2001  PT BBB              1452649            1297008
FA-107405/28/2001  PT ZZZ             18148478           16060600
FA-107505/29/2001  PT ABC             37948573           34815204
FA-107605/31/2001  PT ABC             25713495           24489042
FA-107706/01/2001  PT AAA            125943080          124696112
FA-107806/02/2001  PT XYZ             49052571           50569657
FA-107906/03/2001  PT BBB             77256046           78832700
FA-108006/04/2001  PT AAA            387241069          391152624
FA-108106/04/2001  PT ABC             15592122           15561000
FA-108206/04/2001  PT ABC              7712526            7561300
FA-108306/05/2001  PT BBB             60452595           59267250
FA-108406/07/2001  PT XYZ             85562343           83884650
FA-108506/09/2001  PT BBB            117897720          115586000
FA-108606/10/2001  PT AAA            138061131          135354050
FA-108706/10/2001  PT ZZZ             24573706           23857967
FA-108806/10/2001  PT ABC            123593757          121170350
FA-108906/10/2001  PT BBB             75263454           73787700
FA-109006/12/2001  PT BBB            209251113          205148150
FA-109106/12/2001  PT DEF             10868354           10551800
FA-109206/12/2001  PT BBB             15615588           15309400
FA-109306/12/2001  PT DEF              1751799            1717450
FA-109406/14/2001  PT DEF            409826820          401791000
FA-109506/16/2001  PT ZZZ             17409054           17067700
FA-109606/17/2001  PT BBB            245931792          241109600
FA-109706/18/2001  PT BBB             43391667           42540850
FA-109806/19/2001  PT XYZ             58249497           57107350
FA-109906/21/2001  PT XYZ             61346217           60143350
FA-110006/21/2001  PT ABC             98021796           96099800
FA-110106/23/2001  PT BBB             24462915           23983250
FA-110206/24/2001  PT AAA             13538444           13404400
FA-110306/25/2001  PT ZZZ            239326772          236957200
FA-110406/25/2001  PT ZZZ             36641790           36279000
FA-110506/25/2001  PT DEF             32229807           31910700
FA-110606/26/2001  PT BBB             80773942           79974200
FA-110706/28/2001  PT ZZZ             91656692           90749200
FA-110806/30/2001  PT ABC             90109069           89216900
FA-110906/30/2001  PT XYZ             32883681           32558100
FA-111007/01/2001  PT BBB             69585869           68896900
FA-111107/01/2001  PT ZZZ             77920692           77149200
FA-111207/02/2001  PT ABC             21015550           19458842
FA-111307/04/2001  PT DEF              4983122            4371159
FA-111407/05/2001  PT XYZ             13187800           11568245
FA-111507/07/2001  PT DEF              3211449            2841990
FA-111607/07/2001  PT DEF             14060532           12333800
FA-111707/07/2001  PT XYZ             31894044           29260590
FA-111807/08/2001  PT AAA             15296197           14033208
FA-111907/09/2001  PT AAA             33141807           29329032
FA-112007/11/2001  PT BBB             21638626           20035764
FA-112107/11/2001  PT BBB             24038353           20902915
FA-112207/11/2001  PT DEF             13218375           11802120
FA-112307/11/2001  PT AAA             11171594            9974637
FA-112407/13/2001  PT XYZ              3494497            3092475
FA-112507/15/2001  PT DEF               539055             481299
FA-112607/17/2001  PT BBB             36329844           31591168
FA-112707/17/2001  PT XYZ              1169711            1053793
FA-112807/17/2001  PT ABC             43439581           39490528
FA-112907/19/2001  PT DEF             23991520           21421000
FA-113007/20/2001  PT BBB             42323816           37454704
FA-113107/20/2001  PT BBB             22199980           20181800
FA-113207/22/2001  PT DEF             34892908           31154382
FA-113307/22/2001  PT BBB              2621533            2405076
FA-113407/24/2001  PT AAA             34638253           30120220
FA-113507/24/2001  PT AAA              3726807            3327506
FA-113607/24/2001  PT AAA              3312595            3011450
FA-113707/24/2001  PT ZZZ             19056072           17014350
FA-113807/24/2001  PT BBB             25915716           23996033
FA-113907/24/2001  PT XYZ             12197288           10794060
FA-114007/25/2001  PT AAA             13720732           12473392
FA-114107/27/2001  PT XYZ             15551987           13762820
FA-114207/28/2001  PT XYZ             11984004           10796400
FA-114307/28/2001  PT ABC             20464183           18109896
FA-114407/28/2001  PT AAA             14029356           12753960
FA-114507/30/2001  PT ZZZ               654202             568871
FA-114607/31/2001  PT DEF               536817             497052
FA-114708/02/2001  PT DEF             29669048           26025480
FA-114808/03/2001  PT BBB             22906454           20636445
FA-114908/03/2001  PT ZZZ              4483430            3967637
FA-115008/03/2001  PT ABC             16461758           15102530
FA-115108/03/2001  PT DEF              1797009            1562616
FA-115208/04/2001  PT ABC              4686909            4222440
FA-115308/06/2001  PT BBB             11291703           10359360
FA-115408/08/2001  PT ABC             38772342           33715080
FA-115508/09/2001  PT ABC             45654118           41503743
FA-115608/10/2001  PT XYZ             21451523           18817125
FA-115708/10/2001  PT AAA             15528002           13502610
FA-115808/12/2001  PT BBB             11369332           10061355
FA-115908/13/2001  PT ABC             19029838           16692840
FA-116008/14/2001  PT ABC             26432018           23600016
FA-116108/16/2001  PT ZZZ              3537106            3075744
FA-116208/17/2001  PT BBB             15460472           13443888
FA-116308/17/2001  PT AAA              2601612            2408900
FA-116408/19/2001  PT ABC             12362289           11238444
FA-116508/21/2001  PT XYZ             20696963           18988039
FA-116608/22/2001  PT BBB             12607924           11461749
FA-116708/22/2001  PT DEF             23766364           20847687
FA-116808/23/2001  PT DEF             51520741           44800644
FA-116908/25/2001  PT ABC              3178953            2889957
FA-117008/25/2001  PT DEF             27456838           24084945
FA-117108/25/2001  PT ZZZ             26078379           23925118
FA-117208/26/2001  PT BBB             36486775           33474105
FA-117308/27/2001  PT XYZ             11062878           10243405
FA-117408/27/2001  PT ABC              4645680            4185297
FA-117508/28/2001  PT ABC             27220917           24746288
FA-117608/30/2001  PT ABC             38153388           34684898
FA-117708/31/2001  PT ABC              3457227            3201136
FA-117809/02/2001  PT XYZ              1461876            1271196
FA-117909/04/2001  PT AAA             46272202           40948851
FA-118009/04/2001  PT DEF             12647029           11710212
FA-118109/04/2001  PT XYZ             35193916           30871856
FA-118209/04/2001  PT XYZ             11114795            9749820
FA-118309/05/2001  PT ABC              7842481            6940248
FA-118409/06/2001  PT ABC               894255             791376
FA-118509/08/2001  PT BBB              9019871            8199882
FA-118609/10/2001  PT XYZ             37131379           32571385
FA-118709/10/2001  PT BBB             34389685           30981698
FA-118809/12/2001  PT DEF               405716             359040
FA-118909/12/2001  PT BBB             35084618           30775980
FA-119009/13/2001  PT DEF             19356757           17758492
FA-119109/15/2001  PT AAA             52310853           48435975
FA-119209/16/2001  PT AAA              9368393            8594856
FA-119309/17/2001  PT ABC             18029574           16694050
FA-119409/18/2001  PT BBB             49155479           45939700
FA-119509/19/2001  PT ZZZ             15719400           14555000
FA-119609/19/2001  PT BBB              6782791            6222744
FA-119709/21/2001  PT XYZ             36610255           33282050
FA-119809/21/2001  PT ZZZ             46980270           43500250
FA-119909/22/2001  PT ZZZ             23985390           21804900
FA-120009/22/2001  PT XYZ              3662621            3329655
FA-120109/24/2001  PT XYZ             47068923           43582336
FA-120209/25/2001  PT XYZ             29801058           26847800
FA-120309/26/2001  PT XYZ             20054986           18399069
FA-120409/27/2001  PT DEF             55009410           49558027
FA-120509/29/2001  PT DEF              4164999            3821100
FA-120609/30/2001  PT BBB             31779924           28890840
FA-120710/01/2001  PT BBB             15576311           14032712
FA-120810/02/2001  PT AAA             14056597           12223127
FA-120910/02/2001  PT XYZ             30067923           27334475
FA-121010/04/2001  PT XYZ             43459809           39871384
FA-121110/04/2001  PT BBB              8273170            7521063
FA-121210/06/2001  PT BBB              9367498            8145650
FA-121310/06/2001  PT AAA             55174509           49706764
FA-121410/07/2001  PT BBB             36322420           32430732
FA-121510/08/2001  PT DEF              2344750            2093526
FA-121610/10/2001  PT BBB             21725756           19397996
FA-121710/11/2001  PT ABC              8734968            7940880
FA-121810/12/2001  PT XYZ              6687992            6192585
FA-121910/13/2001  PT BBB             30614798           28347035
FA-122010/14/2001  PT BBB             36135818           31422450
FA-122110/14/2001  PT XYZ              4464432            3986100
FA-122210/16/2001  PT DEF             26158789           22946306
FA-122310/16/2001  PT ZZZ             13036840           11336382
FA-122410/17/2001  PT BBB            185780760          182138000
FA-122510/17/2001  PT AAA             68248866           69641700
FA-122610/19/2001  PT XYZ            246782250          249275000
FA-122710/21/2001  PT ABC           1136626215         1134357500
FA-122810/22/2001  PT BBB            128348130          125831500
FA-122910/22/2001  PT BBB            115646223          118006350
FA-123010/23/2001  PT BBB             27902358           28184200
FA-123110/23/2001  PT AAA            679706199          678349500
FA-123210/24/2001  PT XYZ            100271891           99279100
FA-123310/26/2001  PT ABC             24504459           25004550
FA-123410/27/2001  PT ABC            799998303          798401500
FA-123510/29/2001  PT ABC            162866641          161254100
FA-123610/30/2001  PT ABC             65655149           66995050
FA-123710/30/2001  PT DEF            984819726          994767400
FA-123810/31/2001  PT ZZZ           2448628983         2443741500
FA-123911/01/2001  PT ABC            556302849          550794900
FA-124011/02/2001  PT ZZZ            216551188          220970600
FA-124111/02/2001  PT BBB           9397341669         9378584500
FA-124211/03/2001  PT ZZZ           2123552169         2102526900
FA-124311/03/2001  PT ABC           2571834508         2546370800
FA-124411/05/2001  PT ZZZ          21953776914        21909957000
