NoBukti	Tgl	Customer	 Penjualan 	 COGS 
FA-0558	12/16/1999	PT DEF	" 60,621,000 "	" 60,500,000 "
FA-0559	12/17/1999	PT BBB	" 44,221,004 "	" 43,743,813 "
FA-0560	12/18/1999	PT BBB	" 44,612,090 "	" 42,364,794 "
FA-0561	12/20/1999	PT DEF	" 37,240,899 "	" 37,085,912 "
FA-0562	12/21/1999	PT AAA	" 38,536,146 "	" 37,641,818 "
FA-0563	12/23/1999	PT AAA	" 49,372,891 "	" 47,863,428 "
FA-0564	12/23/1999	PT ABC	" 43,532,159 "	" 43,095,998 "
FA-0565	12/25/1999	PT BBB	" 42,421,453 "	" 42,003,712 "
FA-0566	12/25/1999	PT ZZZ	" 37,672,493 "	" 37,157,760 "
FA-0567	12/27/1999	PT BBB	" 31,549,647 "	" 30,525,409 "
FA-0568	12/28/1999	PT ZZZ	" 21,505,899 "	" 20,878,615 "
FA-0569	12/29/1999	PT AAA	" 56,107,897 "	" 55,007,742 "
FA-0570	12/29/1999	PT ZZZ	" 46,321,002 "	" 46,016,496 "
FA-0571	12/29/1999	PT ABC	" 34,173,549 "	" 33,240,375 "
FA-0572	12/29/1999	PT BBB	" 41,090,403 "	" 40,361,240 "
FA-0573	12/31/1999	PT ZZZ	" 27,704,921 "	" 26,984,768 "
FA-0574	1/1/2000	PT BBB	" 28,492,558 "	" 28,310,503 "
FA-0575	1/1/2000	PT XYZ	" 11,560,117 "	" 11,041,788 "
FA-0576	1/3/2000	PT AAA	" 5,100,535 "	" 4,922,717 "
FA-0577	1/4/2000	PT BBB	" 5,970,158 "	" 5,878,520 "
FA-0578	1/6/2000	PT BBB	" 1,196,213 "	" 1,149,309 "
FA-0579	1/8/2000	PT BBB	" 15,097,033 "	" 14,478,734 "
FA-0580	1/10/2000	PT AAA	" 35,709,038 "	" 32,170,304 "
FA-0581	1/12/2000	PT BBB	" 7,916,598 "	" 6,944,384 "
FA-0582	1/12/2000	PT ZZZ	" 15,204,737 "	" 13,822,488 "
FA-0583	1/14/2000	PT ZZZ	" 28,807,218 "	" 25,952,448 "
FA-0584	1/16/2000	PT AAA	" 53,547,843 "	" 46,971,792 "
FA-0585	1/17/2000	PT XYZ	" 16,536,298 "	" 14,633,892 "
FA-0586	1/19/2000	PT ZZZ	" 5,618,465 "	" 5,061,680 "
FA-0587	1/21/2000	PT ZZZ	" 14,318,938 "	" 13,136,640 "
FA-0588	1/23/2000	PT AAA	" 10,151,912 "	" 9,313,680 "
FA-0589	1/24/2000	PT ZZZ	" 33,208,347 "	" 30,189,406 "
FA-0590	1/25/2000	PT BBB	" 2,786,180 "	" 2,579,796 "
FA-0591	1/26/2000	PT ZZZ	" 11,275,046 "	" 10,344,078 "
FA-0592	1/28/2000	PT ZZZ	" 53,912,909 "	" 49,461,384 "
FA-0593	1/28/2000	PT BBB	" 43,421,415 "	" 38,769,120 "
FA-0594	1/30/2000	PT AAA	" 11,115,495 "	" 9,924,549 "
FA-0595	1/31/2000	PT XYZ	" 16,033,765 "	" 13,942,404 "
FA-0596	2/2/2000	PT BBB	" 3,405,811 "	" 3,013,992 "
FA-0597	2/3/2000	PT BBB	" 29,875,971 "	" 26,206,992 "
FA-0598	2/3/2000	PT ABC	" 7,503,570 "	" 6,947,750 "
FA-0599	2/4/2000	PT BBB	" 10,624,654 "	" 9,571,760 "
FA-0600	2/4/2000	PT BBB	" 6,360,661 "	" 5,782,419 "
FA-0601	2/5/2000	PT BBB	" 16,816,575 "	" 15,570,902 "
FA-0602	2/5/2000	PT DEF	" 25,342,173 "	" 23,249,700 "
FA-0603	2/7/2000	PT BBB	" 51,191,971 "	" 46,118,892 "
FA-0604	2/9/2000	PT DEF	" 5,002,412 "	" 4,506,677 "
FA-0605	2/11/2000	PT ABC	" 13,294,947 "	" 12,310,136 "
FA-0606	2/13/2000	PT AAA	" 17,400,449 "	" 15,536,115 "
FA-0607	2/14/2000	PT ABC	" 8,346,780 "	" 7,587,981 "
FA-0608	2/16/2000	PT BBB	" 28,768,569 "	" 26,153,244 "
FA-0609	2/16/2000	PT BBB	" 20,309,228 "	" 18,632,319 "
FA-0610	2/17/2000	PT BBB	" 8,359,473 "	" 7,740,252 "
FA-0611	2/17/2000	PT AAA	" 12,280,092 "	" 11,163,720 "
FA-0612	2/17/2000	PT DEF	" 42,605,528 "	" 38,732,298 "
FA-0613	2/17/2000	PT BBB	" 50,705,865 "	" 46,949,875 "
FA-0614	2/18/2000	PT BBB	" 39,562,852 "	" 34,402,480 "
FA-0615	2/18/2000	PT BBB	" 19,535,776 "	" 17,136,645 "
FA-0616	2/18/2000	PT BBB	" 7,207,085 "	" 6,551,895 "
FA-0617	2/18/2000	PT ABC	" 16,878,415 "	" 14,676,882 "
FA-0618	2/19/2000	PT BBB	" 11,945,088 "	" 10,761,340 "
FA-0619	2/20/2000	PT XYZ	" 20,259,132 "	" 18,417,392 "
FA-0620	2/20/2000	PT DEF	" 9,302,058 "	" 8,380,232 "
FA-0621	2/22/2000	PT BBB	" 5,785,930 "	" 5,259,936 "
FA-0622	2/23/2000	PT ZZZ	" 17,489,190 "	" 16,193,694 "
FA-0623	2/23/2000	PT XYZ	" 15,602,362 "	" 13,807,400 "
FA-0624	2/25/2000	PT BBB	" 31,802,866 "	" 28,911,696 "
FA-0625	2/25/2000	PT DEF	" 4,041,583 "	" 3,545,248 "
FA-0626	2/25/2000	PT ABC	" 15,545,439 "	" 14,393,925 "
FA-0627	2/25/2000	PT BBB	" 22,359,666 "	" 20,326,969 "
FA-0628	2/27/2000	PT BBB	" 14,654,583 "	" 12,743,115 "
FA-0629	2/28/2000	PT BBB	" 20,096,865 "	" 18,608,208 "
FA-0630	2/29/2000	PT DEF	" 624,468 "	" 543,015 "
FA-0631	2/29/2000	PT DEF	" 2,226,421 "	" 2,005,784 "
FA-0632	3/1/2000	PT ABC	" 19,988,461 "	" 18,171,328 "
FA-0633	3/3/2000	PT ZZZ	" 5,369,123 "	" 4,793,859 "
FA-0634	3/3/2000	PT XYZ	" 7,314,539 "	" 6,589,674 "
FA-0635	3/3/2000	PT DEF	" 579,649 "	" 536,712 "
FA-0636	3/5/2000	PT BBB	" 2,931,139 "	" 2,617,088 "
FA-0637	3/6/2000	PT BBB	" 2,347,571 "	" 2,173,676 "
FA-0638	3/8/2000	PT DEF	" 27,286,865 "	" 23,727,708 "
FA-0639	3/8/2000	PT AAA	" 11,367,782 "	" 10,059,984 "
FA-0640	3/9/2000	PT BBB	" 38,735,374 "	" 35,537,040 "
FA-0641	3/9/2000	PT BBB	" 908,062 "	" 833,084 "
FA-0642	3/11/2000	PT ABC	" 4,727,339 "	" 4,110,729 "
FA-0643	3/13/2000	PT BBB	" 13,836,188 "	" 12,244,414 "
FA-0644	3/15/2000	PT BBB	" 46,765,505 "	" 41,754,915 "
FA-0645	3/15/2000	PT XYZ	" 10,433,511 "	" 9,072,618 "
FA-0646	3/16/2000	PT BBB	" 14,304,595 "	" 13,244,995 "
FA-0647	3/16/2000	PT BBB	" 29,116,369 "	" 25,318,581 "
FA-0648	3/16/2000	PT ZZZ	" 29,668,521 "	" 26,255,328 "
FA-0649	3/18/2000	PT BBB	" 9,146,180 "	" 8,093,964 "
FA-0650	3/19/2000	PT AAA	" 46,244,313 "	" 40,924,170 "
FA-0651	3/21/2000	PT BBB	" 7,290,036 "	" 6,567,600 "
FA-0652	3/22/2000	PT DEF	" 16,279,667 "	" 14,799,697 "
FA-0653	3/22/2000	PT BBB	" 10,265,036 "	" 9,417,464 "
FA-0654	3/23/2000	PT DEF	" 6,928,065 "	" 6,414,875 "
FA-0655	3/24/2000	PT BBB	" 24,410,469 "	" 21,412,692 "
FA-0656	3/26/2000	PT AAA	" 1,528,184 "	" 1,414,985 "
FA-0657	3/28/2000	PT DEF	" 6,194,740 "	" 5,433,982 "
FA-0658	3/30/2000	PT AAA	" 1,018,127 "	" 934,061 "
FA-0659	4/1/2000	PT ZZZ	" 11,989,859 "	" 10,801,674 "
FA-0660	4/2/2000	PT XYZ	" 9,517,129 "	" 8,275,764 "
FA-0661	4/2/2000	PT AAA	" 27,756,344 "	" 25,233,040 "
FA-0662	4/4/2000	PT BBB	" 45,916,839 "	" 41,366,521 "
FA-0663	4/5/2000	PT BBB	" 14,237,044 "	" 12,711,646 "
FA-0664	4/7/2000	PT DEF	" 57,147,662 "	" 50,573,152 "
FA-0665	4/9/2000	PT DEF	" 583,040 "	" 539,851 "
FA-0666	4/9/2000	PT BBB	" 17,792,804 "	" 15,607,722 "
FA-0667	4/10/2000	PT BBB	" 9,240,157 "	" 8,477,208 "
FA-0668	4/10/2000	PT DEF	" 7,274,837 "	" 6,613,488 "
FA-0669	4/11/2000	PT ZZZ	" 34,378,597 "	" 29,894,432 "
FA-0670	4/12/2000	PT DEF	" 9,885,132 "	" 8,826,010 "
FA-0671	4/12/2000	PT BBB	" 16,737,721 "	" 14,554,540 "
FA-0672	4/13/2000	PT DEF	" 10,205,413 "	" 8,952,116 "
FA-0673	4/14/2000	PT ABC	" 39,612,952 "	" 36,011,774 "
FA-0674	4/16/2000	PT BBB	" 53,777,260 "	" 49,336,935 "
FA-0675	4/18/2000	PT XYZ	" 3,171,889 "	" 2,936,934 "
FA-0676	4/19/2000	PT AAA	" 261,635 "	" 240,032 "
FA-0677	4/19/2000	PT BBB	" 12,111,191 "	" 11,111,184 "
FA-0678	4/20/2000	PT ABC	" 22,207,215 "	" 20,006,500 "
FA-0679	4/20/2000	PT ZZZ	" 20,992,596 "	" 19,437,588 "
FA-0680	4/22/2000	PT BBB	" 24,536,497 "	" 21,336,084 "
FA-0681	4/22/2000	PT AAA	" 20,037,125 "	" 18,382,683 "
FA-0682	4/23/2000	PT BBB	" 47,676,663 "	" 42,951,948 "
FA-0683	4/23/2000	PT BBB	" 41,192,990 "	" 36,453,973 "
FA-0684	4/23/2000	PT BBB	" 39,616,368 "	" 36,014,880 "
FA-0685	4/23/2000	PT BBB	" 14,045,357 "	" 12,320,488 "
FA-0686	4/24/2000	PT BBB	" 6,421,447 "	" 5,945,784 "
FA-0687	4/25/2000	PT BBB	" 15,441,978 "	" 13,665,467 "
FA-0688	4/25/2000	PT ZZZ	" 26,328,163 "	" 23,507,288 "
FA-0689	4/25/2000	PT DEF	" 4,586,537 "	" 4,246,793 "
FA-0690	4/26/2000	PT BBB	" 7,672,839 "	" 7,104,480 "
FA-0691	4/28/2000	PT ZZZ	" 35,615,825 "	" 32,977,615 "
FA-0692	4/28/2000	PT ABC	" 6,320,849 "	" 5,593,671 "
FA-0693	4/29/2000	PT AAA	" 6,493,483 "	" 5,696,037 "
FA-0694	5/1/2000	PT ABC	" 21,037,830 "	" 19,125,300 "
FA-0695	5/2/2000	PT BBB	" 9,853,637 "	" 8,720,032 "
FA-0696	5/3/2000	PT ZZZ	" 7,504,676 "	" 6,700,603 "
FA-0697	5/3/2000	PT XYZ	" 12,683,660 "	" 11,426,720 "
FA-0698	5/4/2000	PT ZZZ	" 43,204,943 "	" 37,899,072 "
FA-0699	5/6/2000	PT DEF	" 4,355,630 "	" 3,820,728 "
FA-0700	5/8/2000	PT ABC	" 5,167,578 "	" 4,655,475 "
FA-0701	5/9/2000	PT DEF	" 26,882,094 "	" 24,438,267 "
FA-0702	5/9/2000	PT ABC	" 9,540,120 "	" 8,672,836 "
FA-0703	5/9/2000	PT XYZ	" 44,208,418 "	" 40,933,720 "
FA-0704	5/9/2000	PT ZZZ	" 24,486,650 "	" 22,464,816 "
FA-0705	5/10/2000	PT BBB	" 28,651,335 "	" 25,132,750 "
FA-0706	5/12/2000	PT BBB	" 10,308,428 "	" 9,042,480 "
FA-0707	5/12/2000	PT BBB	" 2,481,640 "	" 2,256,036 "
FA-0708	5/14/2000	PT BBB	" 9,569,889 "	" 8,468,928 "
FA-0709	5/14/2000	PT XYZ	" 31,400,083 "	" 27,304,420 "
FA-0710	5/16/2000	PT ABC	" 3,901,210 "	" 3,546,554 "
FA-0711	5/18/2000	PT BBB	" 21,581,517 "	" 19,442,808 "
FA-0712	5/19/2000	PT BBB	" 13,490,696 "	" 12,376,785 "
FA-0713	5/20/2000	PT XYZ	" 2,287,098 "	" 2,060,448 "
FA-0714	5/21/2000	PT ZZZ	" 20,522,678 "	" 18,656,980 "
FA-0715	5/22/2000	PT BBB	" 4,233,982 "	" 3,920,353 "
FA-0716	5/23/2000	PT ABC	" 12,427,609 "	" 11,297,826 "
FA-0717	5/25/2000	PT XYZ	" 36,542,207 "	" 31,775,832 "
FA-0718	5/27/2000	PT BBB	" 27,826,944 "	" 24,625,614 "
FA-0719	5/27/2000	PT ABC	" 48,785,444 "	" 43,558,432 "
FA-0720	5/27/2000	PT ABC	" 16,455,796 "	" 15,097,060 "
FA-0721	5/29/2000	PT AAA	" 14,512,148 "	" 12,729,954 "
FA-0722	5/30/2000	PT ZZZ	" 3,046,950 "	" 2,745,000 "
FA-0723	5/31/2000	PT BBB	" 5,567,482 "	" 4,970,966 "
FA-0724	5/31/2000	PT XYZ	" 6,010,330 "	" 5,892,480 "
FA-0725	5/31/2000	PT BBB	" 36,756,465 "	" 35,685,888 "
FA-0726	5/31/2000	PT BBB	" 4,111,585 "	" 4,030,965 "
FA-0727	5/31/2000	PT BBB	" 3,253,659 "	" 3,098,722 "
FA-0728	6/1/2000	PT DEF	" 34,895,878 "	" 33,553,728 "
FA-0729	6/1/2000	PT DEF	" 16,263,915 "	" 15,945,014 "
FA-0730	6/3/2000	PT AAA	" 1,948,823 "	" 1,910,610 "
FA-0731	6/4/2000	PT BBB	" 4,414,739 "	" 4,286,154 "
FA-0732	6/4/2000	PT AAA	" 12,794,880 "	" 12,185,600 "
FA-0733	6/6/2000	PT XYZ	" 29,957,521 "	" 28,530,972 "
FA-0734	6/8/2000	PT ABC	" 27,910,966 "	" 27,098,025 "
FA-0735	6/8/2000	PT BBB	" 24,794,458 "	" 24,072,289 "
FA-0736	6/8/2000	PT ABC	" 30,870,753 "	" 30,565,101 "
FA-0737	6/10/2000	PT XYZ	" 10,286,530 "	" 9,986,922 "
FA-0738	6/12/2000	PT BBB	" 43,529,064 "	" 43,098,083 "
FA-0739	6/14/2000	PT ZZZ	" 34,042,407 "	" 33,050,880 "
FA-0740	6/14/2000	PT XYZ	" 36,119,041 "	" 35,410,824 "
FA-0741	6/14/2000	PT BBB	" 25,697,299 "	" 25,193,430 "
FA-0742	6/16/2000	PT BBB	" 1,170,502 "	" 1,158,912 "
FA-0743	6/17/2000	PT DEF	" 2,801,012 "	" 2,719,429 "
FA-0744	6/18/2000	PT BBB	" 36,451,128 "	" 34,715,360 "
FA-0745	6/19/2000	PT BBB	" 9,280,291 "	" 9,188,406 "
FA-0746	6/21/2000	PT DEF	" 10,472,731 "	" 10,369,040 "
FA-0747	6/22/2000	PT ABC	" 14,475,401 "	" 14,332,080 "
FA-0748	6/22/2000	PT DEF	" 24,657,104 "	" 23,482,956 "
FA-0749	6/24/2000	PT ZZZ	" 31,370,961 "	" 30,755,844 "
FA-0750	6/24/2000	PT BBB	" 485,710 "	" 471,563 "
FA-0751	6/25/2000	PT BBB	" 9,405,511 "	" 9,043,760 "
FA-0752	6/27/2000	PT BBB	" 19,797,632 "	" 19,601,615 "
FA-0753	6/29/2000	PT ABC	" 39,875,514 "	" 37,976,680 "
FA-0754	6/29/2000	PT BBB	" 7,006,427 "	" 6,937,056 "
FA-0755	6/30/2000	PT BBB	" 10,211,278 "	" 9,818,536 "
FA-0756	7/2/2000	PT BBB	" 11,940,626 "	" 11,372,024 "
FA-0757	7/2/2000	PT AAA	" 35,746,643 "	" 34,371,772 "
FA-0758	7/4/2000	PT BBB	" 11,706,021 "	" 11,365,068 "
FA-0759	7/6/2000	PT ZZZ	" 11,135,961 "	" 10,707,654 "
FA-0760	7/7/2000	PT XYZ	" 30,458,778 "	" 29,571,629 "
FA-0761	7/8/2000	PT DEF	" 28,158,548 "	" 26,817,664 "
FA-0762	7/8/2000	PT ABC	" 8,118,770 "	" 7,380,700 "
FA-0763	7/10/2000	PT ABC	" 34,515,215 "	" 34,173,480 "
FA-0764	7/11/2000	PT BBB	" 2,728,770 "	" 2,649,291 "
FA-0765	7/13/2000	PT AAA	" 48,844,150 "	" 47,421,504 "
FA-0766	7/13/2000	PT BBB	" 9,042,806 "	" 8,865,496 "
FA-0767	7/15/2000	PT ABC	" 12,276,223 "	" 11,804,060 "
FA-0768	7/15/2000	PT ZZZ	" 1,521,371 "	" 1,491,540 "
FA-0769	7/15/2000	PT AAA	" 17,168,279 "	" 16,507,960 "
FA-0770	7/16/2000	PT BBB	" 11,940,927 "	" 11,481,660 "
FA-0771	7/18/2000	PT ZZZ	" 752,011 "	" 737,265 "
FA-0772	7/19/2000	PT BBB	" 17,042,688 "	" 16,873,948 "
FA-0773	7/21/2000	PT XYZ	" 7,119,316 "	" 6,845,496 "
FA-0774	7/23/2000	PT ZZZ	" 10,281,417 "	" 10,079,820 "
FA-0775	7/24/2000	PT BBB	" 8,459,160 "	" 7,420,315 "
FA-0776	7/24/2000	PT BBB	" 374,461 "	" 325,618 "
FA-0777	7/25/2000	PT BBB	" 1,363,529 "	" 1,217,436 "
FA-0778	7/26/2000	PT BBB	" 44,252,283 "	" 38,817,792 "
FA-0779	7/28/2000	PT ABC	" 8,231,732 "	" 7,349,760 "
FA-0780	7/30/2000	PT ZZZ	" 847,376 "	" 736,848 "
FA-0781	7/30/2000	PT DEF	" 28,618,384 "	" 25,552,128 "
FA-0782	8/1/2000	PT ZZZ	" 4,607,417 "	" 4,077,360 "
FA-0783	8/1/2000	PT BBB	" 20,146,818 "	" 18,150,286 "
FA-0784	8/2/2000	PT BBB	" 42,960,698 "	" 38,018,316 "
FA-0785	8/4/2000	PT BBB	" 8,000,619 "	" 6,957,060 "
FA-0786	8/6/2000	PT XYZ	" 20,858,144 "	" 18,791,120 "
FA-0787	8/8/2000	PT ZZZ	" 5,843,652 "	" 5,081,436 "
FA-0788	8/9/2000	PT ABC	" 19,443,304 "	" 17,360,092 "
FA-0789	8/10/2000	PT BBB	" 45,284,063 "	" 39,722,862 "
FA-0790	8/11/2000	PT AAA	" 45,231,414 "	" 40,749,021 "
FA-0791	8/12/2000	PT ZZZ	" 9,329,176 "	" 8,183,487 "
FA-0792	8/13/2000	PT ZZZ	" 21,792,234 "	" 18,949,768 "
FA-0793	8/14/2000	PT XYZ	" 813,906 "	" 707,744 "
FA-0794	8/14/2000	PT ABC	" 55,616,861 "	" 49,657,911 "
FA-0795	8/15/2000	PT XYZ	" 13,900,824 "	" 12,523,264 "
FA-0796	8/17/2000	PT ABC	" 20,008,958 "	" 17,865,141 "
FA-0797	8/17/2000	PT XYZ	" 9,992,613 "	" 9,002,354 "
FA-0798	8/18/2000	PT DEF	" 11,314,247 "	" 10,193,015 "
FA-0799	8/19/2000	PT BBB	" 30,702,815 "	" 26,932,293 "
FA-0800	8/21/2000	PT BBB	" 10,528,326 "	" 9,317,102 "
FA-0801	8/22/2000	PT DEF	" 3,584,819 "	" 3,144,578 "
FA-0802	8/22/2000	PT ZZZ	" 57,444,025 "	" 49,951,326 "
FA-0803	8/24/2000	PT ABC	" 8,741,909 "	" 7,601,660 "
FA-0804	8/25/2000	PT ABC	" 15,521,992 "	" 13,497,384 "
FA-0805	8/26/2000	PT XYZ	" 11,770,363 "	" 10,509,252 "
FA-0806	8/26/2000	PT XYZ	" 987,722 "	" 858,888 "
FA-0807	8/26/2000	PT BBB	" 606,573 "	" 532,081 "
FA-0808	8/26/2000	PT ABC	" 43,423,889 "	" 39,120,620 "
FA-0809	8/26/2000	PT ZZZ	" 18,329,823 "	" 16,513,354 "
FA-0810	8/28/2000	PT ABC	" 3,688,744 "	" 3,235,740 "
FA-0811	8/28/2000	PT XYZ	" 11,021,895 "	" 9,753,889 "
FA-0812	8/30/2000	PT XYZ	" 5,673,908 "	" 5,065,989 "
FA-0813	9/1/2000	PT BBB	" 20,759,442 "	" 18,535,216 "
FA-0814	9/3/2000	PT BBB	" 10,361,829 "	" 9,169,760 "
FA-0815	9/5/2000	PT ABC	" 2,452,482 "	" 2,151,300 "
FA-0816	9/5/2000	PT AAA	" 15,120,259 "	" 13,380,760 "
FA-0817	9/5/2000	PT BBB	" 23,836,515 "	" 20,909,223 "
FA-0818	9/5/2000	PT XYZ	" 21,185,829 "	" 18,915,918 "
FA-0819	9/6/2000	PT DEF	" 9,471,699 "	" 8,456,874 "
FA-0820	9/6/2000	PT XYZ	" 13,971,082 "	" 12,586,560 "
FA-0821	9/8/2000	PT BBB	" 1,208,660 "	" 1,051,008 "
FA-0822	9/10/2000	PT XYZ	" 29,111,848 "	" 25,536,708 "
FA-0823	9/11/2000	PT BBB	" 49,685,637 "	" 43,969,590 "
FA-0824	9/13/2000	PT XYZ	" 26,888,731 "	" 23,586,606 "
FA-0825	9/14/2000	PT DEF	" 26,618,996 "	" 23,766,960 "
FA-0826	9/14/2000	PT ZZZ	" 8,019,329 "	" 7,034,499 "
FA-0827	9/15/2000	PT ABC	" 129,378 "	" 116,556 "
FA-0828	9/16/2000	PT BBB	" 12,852,077 "	" 11,475,068 "
FA-0829	9/18/2000	PT BBB	" 10,054,103 "	" 8,976,877 "
FA-0830	9/18/2000	PT ZZZ	" 5,286,416 "	" 4,637,207 "
FA-0831	9/20/2000	PT ZZZ	" 24,231,756 "	" 21,255,926 "
FA-0832	9/20/2000	PT AAA	" 51,210,903 "	" 45,724,020 "
FA-0833	9/20/2000	PT BBB	" 13,884,392 "	" 12,073,384 "
FA-0834	9/21/2000	PT ABC	" 9,924,802 "	" 8,783,010 "
FA-0835	9/23/2000	PT BBB	" 10,464,630 "	" 9,179,500 "
FA-0836	9/25/2000	PT DEF	" 431,006 "	" 374,787 "
FA-0837	9/26/2000	PT AAA	" 1,113,916 "	" 968,622 "
FA-0838	9/28/2000	PT XYZ	" 12,162,354 "	" 10,763,145 "
FA-0839	9/30/2000	PT XYZ	" 5,482,217 "	" 4,851,519 "
FA-0840	9/30/2000	PT XYZ	" 13,758,065 "	" 12,283,986 "
FA-0841	10/1/2000	PT AAA	" 42,252,519 "	" 38,065,332 "
FA-0842	10/2/2000	PT ABC	" 5,785,710 "	" 5,212,351 "
FA-0843	10/3/2000	PT ABC	" 13,231,943 "	" 11,709,684 "
FA-0844	10/4/2000	PT BBB	" 3,775,692 "	" 3,312,010 "
FA-0845	10/5/2000	PT XYZ	" 13,297,465 "	" 11,979,698 "
FA-0846	10/6/2000	PT BBB	" 26,665,756 "	" 23,391,014 "
FA-0847	10/7/2000	PT DEF	" 18,187,809 "	" 16,385,413 "
FA-0848	10/7/2000	PT BBB	" 10,001,203 "	" 9,010,092 "
FA-0849	10/7/2000	PT BBB	" 13,635,216 "	" 12,174,300 "
FA-0850	10/9/2000	PT ZZZ	" 49,073,300 "	" 43,046,754 "
FA-0851	10/9/2000	PT ZZZ	" 6,199,414 "	" 5,438,082 "
FA-0852	10/10/2000	PT ZZZ	" 158,303 "	" 140,091 "
FA-0853	10/12/2000	PT XYZ	" 29,571,310 "	" 26,402,955 "
FA-0854	10/14/2000	PT BBB	" 13,610,930 "	" 11,939,412 "
FA-0855	10/16/2000	PT ABC	" 11,760,413 "	" 10,316,151 "
FA-0856	10/16/2000	PT AAA	" 38,649,120 "	" 34,508,142 "
FA-0857	10/18/2000	PT ZZZ	" 47,781,796 "	" 42,284,775 "
FA-0858	10/20/2000	PT BBB	" 27,654,312 "	" 24,258,168 "
FA-0859	10/21/2000	PT ZZZ	" 22,779,729 "	" 19,808,460 "
FA-0860	10/23/2000	PT XYZ	" 13,208,365 "	" 11,688,818 "
FA-0861	10/25/2000	PT ZZZ	" 34,841,865 "	" 31,108,808 "
FA-0862	10/27/2000	PT XYZ	" 1,296,793 "	" 1,127,646 "
FA-0863	10/28/2000	PT DEF	" 6,929,933 "	" 6,187,440 "
FA-0864	10/30/2000	PT BBB	" 15,783,468 "	" 13,967,670 "
FA-0865	10/30/2000	PT BBB	" 25,432,119 "	" 22,506,300 "
FA-0866	10/31/2000	PT ABC	" 2,449,262 "	" 2,129,793 "
FA-0867	11/2/2000	PT XYZ	" 10,340,450 "	" 9,150,840 "
FA-0868	11/2/2000	PT DEF	" 3,203,863 "	" 2,810,406 "
FA-0869	11/4/2000	PT BBB	" 31,988,115 "	" 28,308,066 "
FA-0870	11/4/2000	PT BBB	" 9,041,673 "	" 8,072,922 "
FA-0871	11/4/2000	PT XYZ	" 3,018,584 "	" 2,695,164 "
FA-0872	11/4/2000	PT BBB	" 41,222,396 "	" 36,479,996 "
FA-0873	11/4/2000	PT ZZZ	" 4,017,213 "	" 3,619,110 "
FA-0874	11/4/2000	PT ZZZ	" 5,322,692 "	" 4,669,028 "
FA-0875	11/6/2000	PT AAA	" 7,601,313 "	" 6,726,825 "
FA-0876	11/6/2000	PT ABC	" 48,283,311 "	" 42,353,781 "
FA-0877	11/7/2000	PT AAA	" 8,737,979 "	" 7,872,053 "
FA-0878	11/7/2000	PT BBB	" 5,798,104 "	" 5,086,056 "
FA-0879	11/9/2000	PT BBB	" 13,939,485 "	" 12,227,618 "
FA-0880	11/10/2000	PT ABC	" 51,773,655 "	" 45,020,569 "
FA-0881	11/11/2000	PT BBB	" 4,697,341 "	" 4,516,674 "
FA-0882	11/12/2000	PT BBB	" 22,753,563 "	" 21,670,060 "
FA-0883	11/14/2000	PT DEF	" 11,435,687 "	" 11,322,462 "
FA-0884	11/15/2000	PT AAA	" 26,438,239 "	" 25,179,275 "
FA-0885	11/16/2000	PT BBB	" 5,773,748 "	" 5,551,680 "
FA-0886	11/18/2000	PT BBB	" 21,236,262 "	" 21,669,655 "
FA-0887	11/18/2000	PT DEF	" 51,850,205 "	" 52,908,372 "
FA-0888	11/20/2000	PT DEF	" 26,160,785 "	" 24,915,033 "
FA-0889	11/22/2000	PT ABC	 -   	 -   
FA-0890	11/22/2000	PT BBB	" 15,215,207 "	" 15,685,780 "
FA-0891	11/23/2000	PT ABC	" 707,174 "	" 679,975 "
FA-0892	11/23/2000	PT BBB	 -   	 -   
FA-0893	11/24/2000	PT ZZZ	" 276,243 "	" 263,088 "
FA-0894	11/26/2000	PT BBB	" 6,573,866 "	" 6,708,026 "
FA-0895	11/26/2000	PT XYZ	" 18,968,973 "	" 18,065,688 "
FA-0896	11/26/2000	PT DEF	" 15,774,759 "	" 15,465,450 "
FA-0897	11/28/2000	PT DEF	" 14,985,004 "	" 14,691,180 "
FA-0898	11/28/2000	PT DEF	" 13,030,340 "	" 13,433,340 "
FA-0899	11/29/2000	PT ABC	" 11,533,268 "	" 11,089,680 "
FA-0900	11/30/2000	PT BBB	" 18,865,245 "	" 19,250,250 "
FA-0901	11/30/2000	PT XYZ	 -   	 -   
FA-0902	12/1/2000	PT ABC	" 6,635,763 "	" 6,985,013 "
FA-0903	12/3/2000	PT DEF	" 49,249,125 "	" 51,841,184 "
FA-0904	12/4/2000	PT ABC	" 45,139,952 "	" 43,403,800 "
FA-0905	12/6/2000	PT BBB	" 10,932,642 "	" 11,388,168 "
FA-0906	12/8/2000	PT BBB	" 44,250,538 "	" 42,548,594 "
FA-0907	12/8/2000	PT ZZZ	 -   	 -   
FA-0908	12/10/2000	PT BBB	" 4,509,710 "	" 4,601,744 "
FA-0909	12/11/2000	PT ZZZ	" 16,478,692 "	" 17,345,991 "
FA-0910	12/12/2000	PT ZZZ	" 34,524,137 "	" 35,962,642 "
FA-0911	12/13/2000	PT DEF	" 17,241,609 "	" 17,070,900 "
FA-0912	12/15/2000	PT AAA	" 15,566,485 "	" 15,723,722 "
FA-0913	12/17/2000	PT ABC	" 4,253,668 "	" 4,430,904 "
FA-0914	12/18/2000	PT ABC	" 24,281,622 "	" 24,526,890 "
